Day Number      Susceptible Nodes Count   Infected Nodes Count
1               1588                      1                   
2               1369                      220                 
3               1                         1589                
4               0                         1590                
5               1                         1589                
6               0                         1590                
7               0                         1590                
8               1                         1589                
9               0                         1590                
10              0                         1590                
11              0                         1590                
12              0                         1590                
13              2                         1588                
14              0                         1590                
15              1                         1589                
16              0                         1590                
17              0                         1590                
18              0                         1590                
19              1                         1589                
20              3                         1587                
21              0                         1590                
22              0                         1590                
23              0                         1590                
24              0                         1590                
25              0                         1590                
26              0                         1590                
27              1                         1589                
28              1                         1589                
29              0                         1590                
30              1                         1589                
31              0                         1590                
32              0                         1590                
33              0                         1590                
34              0                         1590                
35              2                         1588                
36              1                         1589                
37              1                         1589                
38              1                         1589                
39              1                         1589                
40              0                         1590                
41              1                         1589                
42              0                         1590                
43              0                         1590                
44              0                         1590                
45              1                         1589                
46              0                         1590                
47              0                         1590                
48              1                         1589                
49              0                         1590                
50              0                         1590                
51              0                         1590                
52              1                         1589                
53              0                         1590                
54              0                         1590                
55              0                         1590                
56              2                         1588                
57              1                         1589                
58              2                         1588                
59              1                         1589                
60              0                         1590                
60              0                         1590                
