Day Number      Susceptible Nodes Count   Infected Nodes Count
1               3177                      1                   
2               2729                      449                 
3               2                         3176                
4               4                         3174                
5               2                         3176                
6               2                         3176                
7               4                         3174                
8               2                         3176                
9               2                         3176                
10              2                         3176                
11              2                         3176                
12              2                         3176                
13              3                         3175                
14              2                         3176                
15              2                         3176                
16              2                         3176                
17              2                         3176                
18              3                         3175                
19              2                         3176                
20              2                         3176                
21              2                         3176                
22              2                         3176                
23              3                         3175                
24              3                         3175                
25              2                         3176                
26              2                         3176                
27              2                         3176                
28              3                         3175                
29              2                         3176                
30              2                         3176                
31              2                         3176                
32              3                         3175                
33              3                         3175                
34              2                         3176                
35              2                         3176                
36              2                         3176                
37              2                         3176                
38              3                         3175                
39              3                         3175                
40              3                         3175                
41              2                         3176                
42              2                         3176                
43              2                         3176                
44              2                         3176                
45              3                         3175                
46              3                         3175                
47              2                         3176                
48              2                         3176                
49              3                         3175                
50              4                         3174                
51              2                         3176                
52              2                         3176                
53              2                         3176                
54              2                         3176                
55              2                         3176                
56              2                         3176                
57              2                         3176                
58              2                         3176                
59              2                         3176                
60              2                         3176                
